Attrition,DailyRate,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,Research & Development,Life Sciences,Marketing,Medical,Other,Technical Degree,Travel_Rarely,Male,Human Resources,Laboratory Technician,Manager,Manufacturing Director,Research Director,Research Scientist,Sales Representative,Married,Single,within 10km,>10km,old,avg_work_years
0,334,2,223,3,83,4,4,23402,3,16,2,1,12,2,1,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0
0,1450,3,224,3,79,2,3,25326,1,15,4,1,1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0
0,1452,3,226,3,53,3,2,17053,3,15,2,0,21,5,3,4,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,7.0
0,465,3,227,1,56,3,3,4609,4,12,1,1,13,2,3,8,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,3.25
0,1339,3,228,2,41,3,4,8053,2,12,3,1,12,2,3,9,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0
0,702,4,230,1,59,2,4,12930,4,22,3,0,12,2,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
0,120,5,231,3,43,3,3,12430,3,20,1,0,8,2,3,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,2.6666666666666665
0,1157,3,233,3,51,3,2,13364,0,16,4,1,6,3,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0.0
1,602,1,235,3,100,1,1,20989,0,21,1,0,1,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
0,1480,2,238,4,30,3,2,15062,4,12,3,0,13,3,2,7,7,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3.25
0,111,3,239,3,66,3,1,11012,1,11,3,2,12,4,3,9,6,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,12.0
0,1268,2,240,3,30,3,1,6319,4,11,1,1,9,3,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2.25
0,713,3,241,3,67,3,1,13939,4,18,3,1,19,3,3,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4.75
0,134,3,242,3,90,3,4,10515,0,14,1,0,4,2,4,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0
1,303,3,243,2,47,2,4,9241,1,22,3,0,1,3,2,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1.0
0,526,2,244,2,92,3,1,2137,1,25,3,3,24,2,3,13,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24.0
0,1380,2,245,3,75,3,4,6319,1,12,3,0,2,3,3,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2.0
0,140,1,246,3,95,3,4,6984,8,23,3,1,7,0,3,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0.875
0,629,2,247,4,95,3,2,5711,2,15,4,0,9,3,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,4.5
1,1356,2,248,2,70,3,2,21728,1,22,4,0,4,5,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,4.0
0,328,3,249,3,86,2,3,3425,2,15,4,1,5,2,2,2,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,2.5
0,1084,2,250,4,57,4,1,26250,1,11,3,2,5,3,3,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,5.0
0,931,3,252,4,72,3,2,4673,1,13,4,1,8,5,3,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,8.0
0,989,1,253,4,46,3,3,6499,1,14,2,1,21,2,3,8,9,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,21.0
0,692,4,254,3,61,4,2,13339,8,11,4,0,36,3,3,15,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,4.5
0,1069,1,256,4,45,2,3,14074,1,17,3,0,10,2,2,9,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10.0
0,313,3,258,4,98,3,2,7192,3,18,3,0,21,6,3,7,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7.0
0,699,4,259,3,65,2,3,5678,0,14,1,1,34,5,3,18,11,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.0
0,894,3,260,4,99,3,2,11781,1,16,4,0,7,2,2,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,7.0
1,556,2,261,2,50,2,3,15497,3,13,1,0,8,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,2.6666666666666665
0,1344,3,262,4,37,4,4,5228,4,14,4,3,7,3,4,4,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1.75
0,1195,2,264,1,65,2,4,20462,9,23,4,1,22,1,3,8,11,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2.4444444444444446
0,290,3,267,2,65,4,1,22977,1,12,1,1,8,3,2,7,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,8.0
0,138,3,269,2,37,3,2,15986,5,11,4,0,10,5,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0
0,926,2,270,3,36,3,3,16439,2,16,2,1,11,5,3,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5.5
0,1261,4,271,4,88,3,3,7259,9,14,2,0,14,3,3,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.5555555555555556
0,1084,3,273,4,54,3,4,4185,3,18,1,1,9,3,1,7,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,3.0
0,472,1,274,3,60,2,1,9679,5,19,3,1,6,1,3,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.2
0,1002,4,275,4,92,3,4,23793,1,15,1,2,7,0,3,7,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,7.0
0,878,4,277,4,43,3,3,5972,1,17,4,1,5,4,4,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5.0
0,905,2,281,3,99,3,4,16523,8,15,3,1,15,2,4,2,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1.875
1,1180,1,282,2,70,3,1,11354,7,19,2,0,17,2,3,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2.4285714285714284
1,121,3,283,2,35,3,4,24525,1,22,4,3,10,3,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,10.0
0,1136,3,284,4,60,4,2,12392,1,16,1,1,4,2,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,4.0
0,635,1,286,2,73,3,4,7703,1,13,1,0,8,2,3,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,8.0
0,1151,5,287,4,63,2,4,14242,9,14,4,1,5,5,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5555555555555556
0,644,4,288,4,97,3,1,12368,7,16,3,1,17,3,3,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.4285714285714284
1,1045,4,291,4,32,1,4,25812,1,11,3,0,14,2,2,8,9,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,14.0
0,829,1,292,3,88,2,3,20925,1,22,3,0,12,2,3,8,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12.0
0,1242,3,293,4,90,3,3,12916,1,14,4,0,7,2,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.0
0,1469,4,296,2,81,2,2,15736,5,16,4,2,16,5,1,9,4,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,3.2
1,1005,3,297,4,88,3,1,8556,5,11,3,0,8,5,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.6
0,896,3,298,4,75,3,4,14674,3,18,3,0,16,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,5.333333333333333
1,334,4,299,3,52,2,1,22967,5,15,3,0,9,5,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.8
1,992,3,300,3,85,3,3,19757,0,14,4,0,7,1,2,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0
0,1052,3,302,4,57,2,4,16840,6,12,4,0,23,2,3,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3.8333333333333335
0,1147,3,303,4,52,3,1,17011,2,14,4,1,16,4,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8.0
0,1396,2,304,4,62,3,2,9945,8,16,4,0,16,3,4,11,3,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2.0
0,147,4,305,3,47,2,2,13248,6,21,4,0,7,3,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.1666666666666667
0,663,3,306,2,47,3,4,10056,1,14,3,3,10,1,3,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,10.0
0,119,3,307,1,76,3,3,9647,0,12,3,2,17,6,2,10,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,979,4,308,3,90,1,3,4381,0,12,4,1,6,2,3,4,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0
0,142,3,309,3,70,2,4,8456,3,17,1,1,7,6,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2.3333333333333335
0,319,4,311,1,41,3,4,2539,4,17,3,1,13,2,3,8,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.25
0,1413,1,312,2,42,3,4,6599,1,14,4,1,11,5,3,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0
0,944,3,314,3,92,3,3,9096,1,14,1,0,10,3,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
1,896,1,315,3,86,2,4,14961,1,13,3,0,4,3,2,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,4.0
0,1323,3,316,3,89,2,4,3300,7,15,2,0,6,3,2,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0.8571428571428571
0,532,2,319,3,58,3,4,4933,1,11,4,0,22,3,3,17,11,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,22.0
0,818,2,321,2,52,3,3,25657,8,17,4,0,7,2,2,2,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0.875
0,854,4,323,4,68,3,4,24118,3,11,3,1,32,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,10.666666666666666
1,813,3,325,3,58,3,4,22149,5,13,3,1,8,2,1,4,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1.6
0,1034,3,327,4,80,3,4,7744,5,22,3,1,22,3,3,13,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,4.4
1,465,2,328,1,39,3,1,21509,7,20,1,0,13,3,4,7,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.8571428571428572
0,771,4,329,1,79,2,3,21030,1,18,4,0,33,2,4,7,15,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,33.0
0,1401,2,330,3,56,3,2,20990,2,11,1,1,6,5,3,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3.0
1,515,3,331,4,62,2,3,9571,0,14,4,0,4,2,1,2,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0
0,1431,4,332,3,96,3,3,15417,7,14,3,3,7,1,3,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
0,976,4,333,3,100,3,4,12069,0,18,1,0,4,2,3,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0,1411,2,334,3,36,3,1,19877,2,16,1,2,17,2,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,8.5
0,1300,2,335,1,62,3,4,24447,1,17,1,2,9,3,3,8,4,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,9.0
0,252,3,336,3,70,4,4,15970,0,11,3,1,25,2,3,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.0
0,1327,4,337,2,73,3,3,13523,9,12,1,1,9,3,3,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0
0,832,4,338,3,63,2,4,14776,1,13,3,1,2,2,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2.0
0,470,4,339,4,84,2,1,23687,6,13,2,1,13,3,3,9,5,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2.1666666666666665
0,1017,2,340,3,83,2,1,18697,2,14,1,1,17,2,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8.5
0,1199,4,341,1,77,4,3,5118,4,17,4,1,9,1,3,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,2.25
1,504,3,342,1,61,3,3,22573,6,11,2,2,17,5,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2.8333333333333335
0,505,4,343,3,64,3,3,6420,0,25,4,0,20,1,3,6,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,665,3,346,3,60,3,4,22673,1,19,1,0,6,1,3,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,6.0
0,916,2,347,4,82,4,1,23016,3,13,3,0,10,1,3,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,3.3333333333333335
0,1247,2,349,4,45,3,4,10732,2,14,4,1,10,2,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5.0
0,685,3,350,1,62,3,3,7505,0,12,4,2,5,3,3,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
0,269,3,351,4,56,2,1,8007,0,11,3,1,10,4,3,6,7,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
0,1416,2,352,1,49,3,3,5949,0,19,4,1,22,5,3,7,3,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0
0,833,3,353,3,96,3,4,23231,1,11,2,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1.0
1,307,2,355,3,71,2,2,11652,0,11,2,0,6,2,4,4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0
0,1311,3,359,2,100,4,2,26062,1,20,3,0,5,3,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5.0
0,1327,2,361,4,39,2,4,19682,3,18,4,1,13,0,3,7,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.333333333333333
0,128,1,362,4,84,2,1,19737,4,13,4,0,9,5,3,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2.25
0,488,3,363,3,75,1,2,14977,3,12,2,1,28,2,2,7,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,9.333333333333334
1,529,4,364,1,79,3,3,14935,2,11,3,0,5,5,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2.5
0,1210,3,366,1,78,2,2,3687,2,19,2,2,10,2,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0
0,1463,3,367,2,64,2,4,14408,0,21,2,1,10,2,3,0,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0,675,2,369,2,85,4,1,18384,1,12,4,2,6,2,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.0
0,1385,2,372,3,79,3,4,7501,0,14,2,0,21,2,3,7,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0.0
0,1403,3,373,4,47,3,4,20251,0,11,3,1,16,4,3,13,10,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0.0
0,452,3,374,4,81,3,1,18938,0,14,3,0,37,2,3,10,4,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0.0
1,666,4,376,1,88,3,2,10268,1,12,4,1,10,2,2,7,9,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,10.0
0,1158,3,377,4,94,3,4,2613,1,23,4,1,5,3,2,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5.0
0,228,4,378,3,98,3,4,22825,4,14,2,1,7,5,4,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1.75
0,996,2,379,4,100,2,3,10531,1,17,1,0,3,4,4,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,3.0
0,728,4,380,1,80,3,4,11677,2,18,1,2,15,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5
0,1315,3,381,2,71,4,2,19100,7,18,2,1,10,6,2,7,6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.4285714285714286
0,322,2,382,1,44,4,1,19191,1,24,3,1,8,3,3,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
0,1479,3,384,3,84,3,2,26767,1,20,1,1,6,6,1,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0
0,797,1,385,1,96,3,2,15815,3,14,1,2,28,4,2,4,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,9.333333333333334
0,1070,4,386,3,45,3,3,21016,3,16,4,3,21,5,2,3,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,7.0
0,635,1,387,2,99,3,3,24532,1,25,3,0,20,3,3,16,11,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,20.0
0,442,2,388,2,44,3,4,20260,1,18,1,0,10,3,2,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.0
0,147,2,389,2,37,3,4,15972,3,19,4,1,12,4,3,7,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,4.0
0,496,2,390,1,60,3,1,22722,1,13,3,1,5,3,3,3,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5.0
0,1372,3,391,4,42,3,4,15881,1,12,2,0,17,3,3,12,5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,17.0
1,920,3,392,4,43,3,3,19920,3,22,4,1,19,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,6.333333333333333
0,688,4,393,4,82,3,4,18899,9,14,2,1,10,2,3,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.1111111111111112
1,1449,4,394,1,45,3,2,14180,2,13,4,1,5,2,3,2,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2.5
0,1117,2,395,4,66,3,4,4488,1,21,4,0,5,3,3,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,5.0
0,636,4,396,3,35,3,1,25594,9,11,4,0,22,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2.4444444444444446
0,506,3,397,3,30,3,2,26285,4,12,4,0,10,2,3,0,7,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2.5
0,444,3,399,4,84,3,2,3909,1,11,3,1,2,5,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0
1,950,4,401,4,48,2,4,8450,1,12,2,0,8,0,3,7,7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,8.0
0,889,3,403,2,53,3,4,11411,1,12,3,3,4,3,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,4.0
0,555,3,404,3,77,3,2,14864,5,14,4,1,23,2,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4.6
1,230,3,405,3,54,3,3,25233,1,13,3,0,0,2,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0
0,1232,3,406,3,96,3,2,5100,0,15,3,2,12,3,2,9,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0,566,4,407,3,81,4,4,7122,4,18,4,2,4,2,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1.0
0,1302,3,408,4,84,1,2,16321,5,18,4,1,13,3,3,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2.6
0,334,4,410,4,88,3,2,15896,1,19,2,0,22,2,3,10,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,22.0
0,812,3,411,4,69,2,3,9724,1,12,1,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0
0,1476,2,412,2,68,4,1,4824,0,19,3,0,9,2,3,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0
0,218,3,416,2,100,4,4,12241,4,11,2,1,10,3,2,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2.5
0,1132,3,417,3,48,4,4,10942,0,17,1,3,19,5,2,10,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,1105,4,419,2,47,3,2,6927,7,15,3,1,11,3,3,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1.5714285714285714
0,906,3,420,4,91,2,3,16985,1,14,3,1,13,3,2,8,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,13.0
0,849,2,421,1,81,2,2,26707,3,17,3,1,19,2,3,8,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,6.333333333333333
0,390,4,422,4,32,1,3,17056,2,13,4,1,12,2,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.0
0,691,4,423,3,86,3,4,10077,0,12,3,1,6,4,3,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0
0,106,3,424,1,62,2,1,17822,3,12,4,0,9,1,3,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
0,1249,3,425,1,97,3,1,20308,1,18,1,1,24,2,3,9,9,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,24.0
0,192,4,426,3,32,3,4,7747,0,18,2,1,3,2,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
0,553,4,428,4,74,3,2,23364,6,11,2,2,12,2,3,6,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.0
0,117,1,429,3,99,3,1,5355,1,14,4,0,21,3,3,9,11,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,21.0
0,185,4,430,3,33,3,4,10675,0,19,1,0,9,5,3,7,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0.0
0,1091,2,431,3,90,2,3,17810,7,12,4,0,25,2,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3.5714285714285716
1,723,4,433,3,85,2,2,17747,2,15,1,0,11,3,2,2,7,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,5.5
0,1220,3,434,3,85,3,2,20938,1,12,2,0,4,2,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,4.0
0,588,2,436,3,65,2,2,24624,1,11,4,0,13,2,3,12,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,13.0
0,1377,3,437,4,74,3,3,5242,1,11,1,0,5,3,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5.0
0,691,3,438,4,73,3,4,7143,4,12,4,3,13,3,3,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3.25
0,1018,4,439,1,74,4,4,10557,7,16,3,0,10,0,2,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.4285714285714286
1,1157,4,440,1,84,1,4,24737,5,13,4,0,5,4,2,2,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0
0,1275,2,441,4,64,3,4,11934,1,13,4,2,11,2,3,8,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,11.0
0,798,2,442,3,48,2,3,14034,1,24,1,1,10,2,3,9,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,10.0
0,672,2,444,3,54,2,4,21141,1,15,1,1,21,2,3,9,13,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,21.0
1,1162,2,445,4,41,3,3,17778,4,18,1,0,12,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
0,508,3,446,2,46,2,4,4317,3,14,3,0,9,6,2,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.0
